review_id,app_id,review_text,label
138255165,1159690,"A Raft style survival where you basically bring your base along with you. I will be making a lot of comparisons to Raft as that really is the gold standard currently for this style of survival.

Resource gathering is a chore and every single item you only get one of. You have to ""swim"" to each item to collect it for a very long time until you get the hookshot which only really extends like, 10 feet. Compared to Raft where you start with the hook, resources might come within reach of the boat, and there's ""bonus"" barrels containing lots of resources. Voidtrain has ""stops"" along the way with some crates that might drop like 1-3 items, but not a lot. Speaking of which, enemies are at these stops and if you die you lose all inventory items. Why? Where the fuck did it go? I guess the void in voidtrain is a big more accurate for items. Should call this void items.

The items are very annoying to handle, fuel is a constant need and when you only get one log every so often you are just sitting around waiting. There's a lot of crap to carry around too and not a lot of storage. The only chest you get for a while has only four slots. FOUR! Even raft gave you eight for the basic cooler, and then it wasn't long after that you got the bigger chest.

The UI and crafting is terrible, everything you use has a 1 second animation where the UI is brought up and you have to wait. One second you might ask? Who would complain about such a thing? Try out Raft and then want to craft something that requires multiple parts. You'll need to access your storage crates, access your crafting menu, and refuel the furnaces for what you need. It's all seemless, no animations to load it up all fancy, usually requires a simple press of the e to access or refuel. Void Train makes it all more complicated. E to access storage, wait, grab items, exit window. E to access station, wait, choose a fuel, choose an item category, choose a item to craft, click craft, exit out of four windows.

I wish I could say the scenery was good at least. In the distance it's kind of neat, but everything immediately around the train is the same shit, asteroids and wreckage.

I recommend people avoid. It's not as fun as you might think.",0
138255297,1159690,real good game,1
138252244,1667180,"Finished it in 24 hours. I liked it. Somehow it kept me wanting to return and play some more. It needs a lot of work, though.",1
138273841,1559600,Pretty horses game. addicted. ahh.,1
138274158,855740,not very fun,0
138127960,1940340,"(Runs great on Steamdeck if you: click cogwheel -> properties -> compatability -> force... -> proton experimental)

I like the game thus far a lot. The aesthetics and atmosphere are phenomenal. It does play somewhat different compared to the first part though but not in a negative way. You do not have to constantly worry about your lvl6 hero dying. Plays much more like a ususal roguelike now. My first run was a bit dull as I didn't enjoy the team comp you get, but from the second run on I was able to get myself the occultist and hellion and am currently having a great run.

I do like that this game doesn't replace DD1 but rather gives us a slightly different game in the same universe. Story isn't as good as in the first one though.",1
138128235,1940340,"Different doesn't mean bad, different can also mean good.

Game fun

Game good",1
138253888,2369390,nice,1
138254207,2369390,"This is still entirely broken on PC, what a joke, after a few minutes the FPS drops to single digits.",0
138254446,2369390,horrible frame rate second half of the game,0
138128270,1159690,"---{ Graphics }---
☐ You forget what reality is
☐ Beautiful
☑ Good
☐ Decent
☐ Bad
☐ Don‘t look too long at it
☐ MS-DOS

---{ Gameplay }---
☐ Very good
☑ Good
☐ It's just gameplay
☐ Mehh
☐ Watch paint dry instead
☐ Just don't

---{ Audio }---
☐ Eargasm
☐ Very good
☑ Good
☐ Not too bad
☐ Bad
☐ I'm now deaf

---{ Audience }---
☐ Kids
☑ Teens
☑ Adults
☐ Grandma

---{ PC Requirements }---
☐ Check if you can run paint
☐ Potato
☑ Decent
☐ Fast
☐ Rich boi
☐ Ask NASA if they have a spare computer

---{ Difficulty }---
☐ Just press 'W'
☐ Easy
☑ Easy to learn / Hard to master
☐ Significant brain usage
☐ Difficult
☐ Dark Souls

---{ Grind }---
☐ Nothing to grind
☐ Only if u care about leaderboards/ranks
☐ Isn't necessary to progress
☐ Average grind level
☐ Too much grind
☑ You'll need a second life for grinding

---{ Story }---
☐ No Story
☐ Some lore
☑ Average
☐ Good
☐ Lovely
☐ It'll replace your life

---{ Game Time }---
☐ Long enough for a cup of coffee
☐ Short
☐ Average
☐ Long
☑ To infinity and beyond

---{ Price }---
☐ It's free!
☑ Worth the price
☐ If it's on sale
☐ If u have some spare money left
☐ Not recommended
☐ You could also just burn your money

---{ Bugs }---
☐ Never heard of
☑ Minor bugs
☐ Can get annoying
☐ ARK: Survival Evolved
☐ The game itself is a big terrarium for bugs

---{ ? / 10 }---
☐ 1
☐ 2
☐ 3
☐ 4
☐ 5
☐ 6
☐ 7
☑ 8
☐ 9
☐ 10



",1
138127666,1159690,"Fetch resources, cook them, build more stuff on train.
Fetch resources, cook them, build more stuff on train.
Fetch resources, cook them, build more stuff on train.
SHOOT SPACE NAZIS!!!
Fetch resources, cook them, build more stuff on train.
Fetch resources, cook them, build more stuff on train.
Fetch resources, cook them, build more stuff on train.

I mean, it's kinda same-y, but so far I'm enjoying it.
The grind is real, so if you don't enjoy that, look elsewhere.",1
